issue,word,pages,count
61,knots,7,1
61,known,"4,6,10",5
61,knows,6,1
61,label,6,2
61,larger,7,1
61,later,"3,5",2
61,layer,7,1
61,laying,7,1
61,leaving,5,1
61,lending,6,1
61,letters,3,1
61,libraries,6,1
61,library,6,4
61,lincoln,3,1
61,linda,5,1
61,lineintersectsanother,8,1
61,lines,"5,7,8,10",5
61,linking,8,1
61,listed,5,1
61,litter,4,1
61,lived,5,1
61,llanhilleth,9,1
61,locations,6,1
61,locking,8,1
61,lumps,7,1
61,lymington,10,2
61,magazine,"3,7,8",5
61,mainly,9,1
61,maker,"5,6",2
61,makers,10,3
61,making,"7,8",2
61,manufacture,5,1
61,manufacturer,"5,9",2
61,manufacturers,"5,10",4
61,march,"4,5",3
61,marjorie,10,1
61,marks,8,2
61,martland,4,1
61,material,10,5
61,materials,10,1
61,matters,3,1
61,means,8,2
61,meanwhile,5,1
61,melling,"2,3,4,10",5
61,members,"3,4,5,6,10",13
61,membership,"3,4,5",6
61,memorabilia,9,1
61,mercy,2,1
61,merri,5,1
61,method,8,1
61,michael,10,1
61,middlestorb,10,1
61,millions,7,1
61,mills,9,1
61,minded,4,1
61,mining,6,1
61,minutes,10,1
61,missing,"2,6",2
61,mission,5,1
61,missionary,5,1
61,modern,2,1
61,motif,5,2
61,motives,7,1
61,motto,5,1
61,mount,6,2
61,moved,5,1
61,moving,4,1
61,murphy,10,2
61,natives,5,1
61,naval,"2,3",2
61,nearby,10,1
61,nearly,"4,5",2
61,needed,7,1
61,netherlands,"2,3",3
61,newsletter,"3,4",5
61,newsletters,"3,4",3
61,newspaper,6,1
61,nicely,9,1
61,northern,2,1
61,notebook,3,1
61,noted,8,1
61,object,8,1
61,obliged,9,1
61,obliterate,7,1
61,obtainable,"7,9",2
61,obtained,10,1
61,obviously,8,1
61,occasions,10,1
61,ofdissectologists,2,1
61,offered,9,1
61,ofpoldark,6,1
61,onward,5,1
61,opened,5,1
61,opening,5,1
61,orders,9,1
61,ordinary,"7,8",2
61,organiser,4,1
61,organising,4,1
61,others,"6,8,10",3
61,outlay,7,1
61,outline,8,3
61,outlines,8,1
61,output,7,1
61,outset,10,1
61,outside,8,1
61,owned,6,1
61,paintings,2,1
61,palace,6,1
61,panels,7,1
61,papers,10,1
61,particularly,"6,7",2
61,parts,8,4
61,pasted,"7,8",2
61,pastime,7,1
61,pastimes,7,1
61,pattern,8,1
61,paula,"2,4",3
61,peacock,"2,3,5",18
61,peacocks,5,2
61,pencil,8,3
61,penny,"2,3,4,10",5
61,pennymelling,4,1
61,performance,9,1
61,permanently,6,1
61,permission,5,1
61,personally,10,1
61,petit,4,1
61,philip,10,1
61,photographs,"3,5",2
61,pictures,"7,8",7
61,pieces,"2,4,6,7,8,9",14
61,planes,8,1
61,plans,4,1
61,playful,6,1
61,pleading,2,1
61,pleased,5,1
61,plenty,10,1
61,pleted,8,1
61,plywood,"7,8",5
61,pocket,7,1
61,points,8,1
61,popular,"2,4,7,9",4
61,portion,8,3
61,possession,10,1
61,possibly,8,1
61,postage,10,1
61,postcard,7,1
61,postmaster,5,1
61,preferable,8,1
61,preparation,10,1
61,presented,3,1
61,prevent,7,1
61,preview,10,1
61,previously,"4,5,8",4
61,prize,"2,4",2
61,probably,"5,8,9",3
61,producing,9,1
61,profile,5,1
61,profit,9,2
61,progress,4,1
61,projecting,8,1
61,prolific,5,1
61,prominence,2,1
61,promotional,10,1
61,prompts,6,1
61,proposal,4,1
61,proposed,4,2
61,proprietors,6,1
61,provided,8,1
61,proving,5,1
61,publication,3,1
61,publications,"4,10",2
61,published,10,1
61,purchase,9,1
61,purchased,6,1
61,purchases,"3,4",2
61,putting,"3,4",2
61,puxrle,6,1
61,puzzling,4,1
61,quantity,10,2
61,racing,7,1
61,rapid,9,1
61,ravensburger,4,1
61,reader,7,1
61,received,"3,4",3
61,receivership,10,1
61,recently,"5,6,10",3
61,records,5,1
61,rectangular,7,1
61,recurrent,10,1
61,reflects,4,1
61,register,6,1
61,registered,5,1
61,relating,10,1
61,religious,5,2
61,remainder,4,1
61,remaining,10,1
61,remit,6,1
61,removed,9,1
61,reproduce,5,1
61,required,"7,8",2
61,requirements,7,1
61,researching,"3,5",2
61,resident,5,1
61,resultant,8,1
61,returned,5,2
61,reviewed,"3,4",2
61,reynolds,"2,4",2
61,richard,4,2
61,rivalled,3,1
61,roles,4,1
61,rooms,10,1
61,rotten,7,1
61,rubbing,8,1
61,running,"3,4",2
61,rutherford,6,1
61,saffron,10,1
61,salesman,9,1
61,sample,9,1
61,sandpaper,"7,8",2
61,sawdust,7,1
61,sawman,4,1
61,scene,"2,6",2
61,scenes,"2,3,7",3
61,schools,5,1
61,seemingly,10,2
61,seems,6,1
61,segments,8,1
61,senior,9,1
61,series,"2,9",3
61,services,5,1
61,several,"7,8,9",4
61,shapes,7,1
61,sharing,3,1
61,showing,2,1
61,shown,8,2
61,shows,"3,5",2
61,sighted,9,1
61,simplest,8,1
61,simply,8,1
61,situated,6,1
61,situation,10,1
61,sizes,8,1
61,smalloriarge,9,1
61,solution,7,1
61,solve,7,1
61,solving,8,1
61,someone,"6,10",2
61,source,9,1
61,southern,4,1
61,spare,"4,7",3
61,specialising,5,1
61,specialist,4,1
61,spencer,5,1
61,spent,4,1
61,stanfield,10,1
61,started,5,1
61,stated,8,1
61,states,10,1
61,stationer,9,1
61,steadily,3,1
61,stock,"6,10",2
61,stopping,8,1
61,stores,9,1
61,stotfold,"3,5,6",4
61,stretched,5,1
61,stuck,7,1
61,stvle,8,1
61,style,"2,5,8",3
61,styles,8,2
61,subscription,3,1
61,subsequently,5,1
61,successful,6,1
61,suffering,5,1
61,sufficient,4,1
61,suggestions,4,1
61,suitable,7,5
61,superior,7,1
61,supplied,7,1
61,supplier,10,1
61,suppliers,10,1
61,surfaced,10,1
61,surplus,4,1
61,surrounding,6,1
61,surviving,6,1
61,sutton,6,1
61,sweepers,"2,6",2
61,sweeping,5,1
61,swells,8,1
61,tacey,10,1
61,tails,5,1
61,taken,"5,7,8",3
61,tales,10,1
61,talking,"3,4",2
61,taunton,5,1
61,technique,9,1
61,terry,9,1
61,thanks,"3,4,5",3
61,theatre,10,1
61,their,"3,4,5,6,10",17
61,themed,3,1
61,these,"3,4,5,6,7,8,9,10",16
61,things,"6,9,10",4
61,thinly,7,1
61,those,"3,4,6,10",5
61,times,6,1
61,tinyonline,"3,4",3
61,title,6,1
61,tools,8,1
61,topical,7,1
61,towards,"4,5",2
61,tracing,8,2
61,traditional,3,1
61,traps,6,1
61,treasurer,4,1
61,trees,10,1
61,trouser,6,1
61,truro,6,1
61,turned,6,1
61,turning,"6,8",2
61,tweta,9,1
61,tyler,"2,4,6,10",5
61,ummerma,1,1
61,unable,4,1
61,undated,10,1
61,undertaken,10,1
61,uniike,7,1
61,unknown,5,1
61,unlikely,6,1
61,upottery,5,1
61,upside,8,1
61,usually,"4,7",2
61,valley,"5,10",2
61,variety,7,1
61,vendeen,4,1
61,vices,4,1
61,victory,"4,10",2
61,views,"1,3",2
61,visited,6,1
61,volunteers,4,2
61,waddington,"3,4,10",3
61,waddingtons,2,1
61,walden,10,1
61,wander,8,2
61,wangaratta,5,1
61,wants,"8,10",2
61,wealth,5,1
61,weeks,4,1
61,wendy,4,1
61,whatever,8,1
61,whilst,7,1
61,whippet,"2,4",2
61,whitworth,3,1
61,wholesale,9,1
61,widened,4,1
61,william,5,3
61,williams,"2,3,4,6",5
61,wills,10,1
61,wiltoy,10,1
61,wonderful,"2,3,6",3
61,wooden,"3,6",2
61,woollies,6,1
61,worker,"8,9",3
61,workers,9,1
61,working,"4,10",4
61,works,9,1
61,written,6,2
61,years,"5,7,8,9",7
61,yields,9,1
66,abandon,8,1
66,abroad,1,1
66,accepted,6,1
