issue,word,pages,count
74,cottage,9,1
78,cottington,5,1
70,courteous,9,1
78,courtesy,6,1
74,cowdry,9,1
70,cowes,5,1
74,cowes,10,3
74,crafted,3,1
78,crafted,9,1
66,crafting,8,1
78,crafts,9,1
66,craftsmanship,8,1
66,craftsmen,7,1
78,craftspeople,10,1
61,craze,7,1
78,craze,7,1
74,creation,3,1
66,crest,9,1
74,crewed,10,1
78,cricket,5,1
78,cricketers,5,1
70,cricketing,2,1
78,critical,5,1
70,crossroad,1,1
70,crossroads,1,1
70,crude,8,1
61,crufts,4,2
74,crumbie,5,1
70,cullum,3,1
66,cupboard,7,1
70,cupboard,7,2
70,cupboards,4,1
74,cupid,8,1
70,curator,5,2
78,curriculum,4,1
78,cushman,9,2
78,customary,5,1
61,cutter,9,1
66,cutter,"3,6,7",3
78,cutter,"6,7",2
61,cutters,6,7
66,cutters,"3,7,9",5
74,daleks,4,1
66,dalgety,7,1
66,darton,4,1
61,daunter,9,1
61,david,"3,4,6",3
66,david,"1,3,4,5,10",10
70,david,4,2
74,david,"3,4,9",8
78,dawson,6,1
74,deafening,3,1
74,dealer,5,5
70,dealers,9,1
74,debenhams,9,1
61,decade,6,1
78,decades,8,1
74,decked,10,1
70,declaration,9,1
78,deepest,3,1
74,definitive,2,1
78,degas,5,1
66,delhi,4,1
74,delightedly,5,1
70,delivery,5,1
70,delved,4,1
74,dennis,3,2
66,dentistry,3,1
78,departure,9,1
66,depicted,3,1
74,depicted,8,2
78,depicted,6,1
70,depicting,10,1
74,depicting,10,1
78,depicting,5,1
70,deposes,8,1
74,derbyshire,3,1
78,descendent,4,1
70,description,9,1
74,deserving,6,1
66,designated,9,1
70,designer,7,1
66,desirable,3,1
70,despencer,10,1
74,dessert,9,1
66,destination,3,1
74,detective,2,1
74,deterioration,7,1
78,devious,2,1
74,devoid,8,1
61,devon,"5,6",3
66,devon,7,1
70,devon,9,1
78,dewsbury,3,1
78,dictator,5,1
66,difficulty,5,1
78,digest,9,1
66,dimensional,8,1
70,dining,5,1
70,director,8,1
74,director,"4,5",4
74,disasters,"3,4",2
78,discarded,9,1
74,disconsolate,4,1
78,disney,5,1
61,dissected,5,1
66,dissected,3,1
70,dissected,"5,8",7
74,dissected,2,1
78,dissected,4,1
78,dissecting,6,1
66,dissection,4,2
70,dissection,"8,9",2
78,dissection,4,1
61,dissections,5,1
66,dissections,"3,4",2
70,dissections,"5,9,10",3
61,dissectologists,"1,3,5,10",4
66,dissectologists,1,1
70,dissectologists,9,1
61,dissectology,5,1
70,dissectology,5,1
74,dissectology,2,2
61,dissector,5,1
70,dissector,8,1
74,diversions,5,1
70,documentary,8,1
66,dollycot,3,1
74,downpour,3,1
78,downpours,5,1
66,dozen,10,1
78,dozen,10,1
66,dragonsland,"2,3",3
74,dragonsland,4,1
78,dragonsland,2,1
70,droitwich,1,1
78,dunlop,"5,6",11
61,duplicate,8,1
70,durability,8,1
66,durbar,4,1
66,dutton,3,1
61,dynasty,5,1
78,eacocs,6,1
78,eagle,2,1
78,eagled,7,1
66,eared,8,1
74,eastbourne,3,1
78,eastbourne,"1,3",2
78,eastern,1,1
74,eclipsed,2,1
70,edinburgh,7,1
66,education,8,1
70,education,"8,9",2
74,education,3,1
78,education,6,1
61,educational,10,2
66,educational,3,1
70,educational,"8,10",2
61,edward,"5,10",6
66,edward,"3,4,10",4
70,edward,9,1
78,edward,6,3
66,edwardian,3,1
70,edwardian,8,2
78,effort,1,1
66,eileen,10,3
70,eldest,10,1
78,eleanor,9,1
74,election,9,1
66,elephant,5,2
74,elfin,4,1
78,elfin,2,1
70,elizabeth,3,2
61,elizabethan,"2,3",2
70,ellin,1,1
78,elliott,6,2
70,elmbridge,"1,5",4
78,elspeth,2,1
78,elves,2,1
74,emanating,8,1
70,emanuel,10,1
61,emblem,5,1
70,embroideries,6,1
70,encampments,7,1
61,enclosed,6,1
78,enclosing,6,1
74,encouragement,6,1
70,endless,4,1
78,energetic,1,1
61,england,"4,10",3
70,england,"8,9",2
74,england,10,2
70,enlarged,10,1
61,ensign,3,1
70,enterprise,10,1
74,enterprise,5,1
74,enthusiast,8,1
74,entirely,4,1
70,ephemera,3,1
74,epics,3,1
66,equipment,8,1
74,eradicated,4,1
70,error,6,1
78,eskimo,8,1
66,esoteric,9,1
78,essex,2,1
70,establishment,10,1
61,evenly,7,1
61,everton,10,1
61,examination,3,1
74,excellence,10,1
74,exception,7,1
70,excitement,9,1
61,exeter,6,2
70,exeter,"4,10",3
74,exhibition,2,1
61,extension,6,1
70,extensive,3,1
74,extensive,3,1
74,extraordinary,2,1
66,facade,9,1
74,facilities,3,1
78,facilities,8,1
70,facility,"5,10",2
78,facility,5,1
61,factories,9,1
78,factories,8,1
74,factory,6,1
70,factual,9,1
74,failure,10,1
74,fairground,8,3
70,fairly,5,1
74,fairly,6,1
78,fairly,"6,7",2
70,faith,7,1
61,falcon,10,1
78,falcon,5,1
70,falkland,4,1
74,familymellinq,1,1
78,fanatic,7,1
74,fantastic,10,1
78,fantastic,7,1
78,farmhouse,6,2
74,favourable,9,1
66,february,10,1
74,february,9,1
78,february,3,1
78,ferrisburg,10,2
70,ferry,3,1
70,festival,5,4
74,festival,10,1
66,fiendish,7,1
66,fiendishly,"3,5",2
78,figural,6,1
70,finch,"8,9",4
78,finely,9,1
66,fireplaces,9,1
70,firstly,6,1
78,fishers,9,1
61,flanked,5,1
78,fleet,6,1
78,fleeting,6,1
74,fletcher,3,1
74,flier,9,2
70,flitted,9,1
74,floss,8,1
61,fluid,7,1
78,focussed,5,1
70,fondly,4,1
70,footballers,4,1
78,footsteps,4,1
78,foreground,9,1
78,forest,1,1
66,fosse,1,1
74,foster,"6,9",3
66,fragile,8,1
74,fragile,7,1
78,framework,7,1
61,frayed,8,1
61,freehand,8,1
61,fretsaw,"7,9",2
61,fretwork,8,1
66,fretwork,6,1
61,fretworker,8,1
74,frittering,6,1
74,frivolous,6,1
61,frontal,5,1
61,frost,"2,4",2
61,fruit,3,1
61,fulfilling,5,1
74,fully,3,1
66,fuselage,8,1
66,galleries,8,2
66,gamer,6,1
78,gannets,10,1
74,garbo,4,1
66,garlick,10,1
66,gateway,6,2
74,gavagan,3,1
61,geert,"2,3",4
70,geert,"3,4",2
78,geert,"3,8",3
74,generally,8,1
66,generation,3,1
74,gentleman,5,1
78,gentleman,"2,7",2
78,geoff,5,1
78,geographica,7,1
70,geographical,5,1
78,geography,4,1
61,george,6,1
66,george,4,1
70,george,"5,8",2
70,georgian,5,1
66,gerald,7,4
70,gerald,7,1
66,gerrish,10,1
66,gibsons,6,1
78,giljian,6,1
74,gillian,3,1
78,gillian,6,1
70,gipsy,7,1
70,glazed,10,1
66,gloucestershire,4,1
66,gobbledeygook,6,1
74,goers,5,1
74,goliath,4,1
66,goodies,4,1
66,gotch,10,1
66,gothic,9,1
70,governess,8,1
66,graham,4,1
78,graham,4,1
61,grain,7,1
66,grained,8,1
66,gramercy,9,1
66,grammar,7,1
78,grandchildren,5,1
66,grandmother,9,1
61,grange,10,1
70,graphic,7,1
78,graphite,3,1
74,gratefully,9,1
61,gratitude,4,1
74,greatly,8,2
66,greenfield,4,1
78,grenfell,"8,9,10",24
78,grenfellhookedmats,10,1
78,grenfl,8,1
78,gribble,9,1
61,griffon,4,1
74,grosvenor,10,2
78,grskf,8,1
74,guest,2,1
78,guest,3,1
78,guildford,"1,3",4
74,guilt,6,1
61,gwent,9,1
70,gwydir,10,1
66,habit,7,1
70,hairpin,10,1
66,hallsgrove,6,1
78,hamburg,8,2
66,hampshire,1,1
70,hampshire,1,1
74,hampshire,1,1
78,hampshire,1,1
66,hanburys,2,1
74,handicap,10,2
70,handicraft,6,1
66,handiwork,7,1
78,handkerchief,2,1
78,handsome,10,1
70,handsomely,10,1
66,hanham,3,2
61,hannas,5,1
66,hannas,8,1
70,hannas,"5,8,9",6
74,hannas,2,4
78,hannas,"4,6",4
78,happiness,4,1
66,harbury,1,3
66,hardboard,5,1
66,hardee,8,1
74,hardy,4,1
61,harlow,10,1
66,harper,7,1
66,harrod,10,1
78,harvester,3,1
70,harwich,3,1
70,hassall,4,1
66,haven,5,1
78,haven,10,1
74,havilland,10,1
61,hawke,6,2
66,hayter,7,4
78,headquarters,9,1
74,heating,10,1
70,helen,"5,6",3
78,helen,4,3
70,helmore,6,2
70,helpers,4,1
78,hemisphere,10,1
66,henham,4,1
74,herndon,5,1
66,herne,5,1
66,hertfordshire,3,1
70,heyday,10,1
78,highly,9,1
78,highwayman,5,1
78,highwaymen,5,1
78,highways,5,1
70,hills,10,1
70,hinckley,5,1
74,hinckley,5,1
70,historian,3,1
66,historic,9,1
78,historical,7,2
61,hobbies,"7,8",5
66,hobbies,6,2
74,hobbies,6,1
61,hobby,6,1
66,hobby,6,1
70,hobby,"4,5",3
74,hobby,2,3
78,hobby,1,1
78,holbom,6,1
70,holland,3,1
66,holloway,7,1
70,holtzapffel,2,1
78,holtzapffel,2,1
66,honiton,7,1
70,honiton,"9,10",2
74,honorary,2,1
74,hooked,6,1
78,hooking,9,1
61,hoovers,6,1
78,horticultural,3,1
74,hosegood,"6,7",2
70,hotel,"1,10",2
74,hotel,9,1
78,houghton,10,1
74,houseful,4,1
66,hovering,8,1
70,hubert,10,1
61,hudson,"3,5",2
66,hudson,3,2
70,hudson,"3,6,9",3
74,hudson,"3,4",2
78,hudson,6,1
74,hugely,4,1
61,humble,9,1
66,hurricane,8,1
70,huvanco,2,2
78,iceberg,9,1
61,identity,5,1
74,iisiie,8,1
70,illness,5,1
61,illustration,8,1
66,illustrations,6,1
78,illustrator,6,1
70,importantly,7,1
78,imported,8,1
78,impressionist,7,1
78,impressions,7,2
74,improvement,8,1
78,indian,8,1
78,industrial,"8,9",2
66,infants,3,1
78,inhabitants,8,1
78,inner,7,2
70,innovative,7,1
61,inscribed,5,1
70,inscribed,7,1
74,inscription,5,1
74,insertion,5,1
74,insisted,6,1
66,inspection,1,1
74,instated,2,1
78,intently,9,1
78,interchange,3,1
66,interchangeable,7,1
66,interlocked,8,1
61,interlocking,"8,9",2
66,interlocking,8,1
74,interlocking,3,1
74,intermittent,9,1
66,internally,9,1
78,interned,8,1
70,internet,"5,9",2
78,internet,4,1
74,interpretations,4,1
70,intrigues,6,1
74,invalids,5,1
70,invaluable,9,1
78,invention,6,1
70,inventor,"8,9",3
74,inventor,2,1
70,investment,7,1
70,involvement,6,1
66,ipswich,4,1
